organization_name,contact_name,email,domain,role_title,sector,region,buyer_type,likely_need,product_angle,evidence_url,evidence_note,source,priority_score,confidence,recommended_message_angle,risk_flags
CGNA,,contacto@cgna.cl,cgna.cl,Contacto del centro,Universidades e investigación,La Araucanía,centro_investigacion,"Plantas, alimentos y genómica nutricional agroacuícola",microcentrífugas; refrigerated centrifuges; homogenizadores; sonicadores; balances,https://www.cgna.cl/nosotros/,Página oficial del centro con contacto,sitio_oficial,88,alta,Proponer renovación de equipamiento para genómica y desarrollo de alimentos/ingredientes,lead_status=net_new_candidate
CEAZA,,info@ceaza.cl,ceaza.cl,Contacto institucional,Universidades e investigación,Coquimbo,centro_investigacion,"Laboratorios en recursos hídricos, ambiente y biodiversidad",balances; incubadoras; sample prep; centrífugas; QC ambiental,https://www.ceaza.cl/,Sitio oficial con contactos y sedes,sitio_oficial,80,alta,Enfatizar equipos para análisis ambiental e hídrico con estabilidad operativa,lead_status=net_new_candidate
CEQUC,Alejandra Molina,,uc.cl,Contacto CEQUC,Universidades e investigación,Región Metropolitana,centro_ensayos,Ensayos y estudios externos de química,balances analíticas; centrífugas; incubadoras; homogenizadores; sample prep,https://centroquimica.uc.cl/,Sitio oficial con contacto y teléfono del centro,sitio_oficial,84,media,Posicionar equipos de QC químico y preparación de muestras con foco en continuidad operativa,sin_email_publico
Laboratorio de Alimentos y Aguas UACh,,laboratorioalimentos@uach.cl,uach.cl,Laboratorio de Alimentos,Universidades e investigación,Los Ríos,laboratorio_universitario,Análisis de alimentos y aguas,incubadoras; centrifugación; balances; sample prep; QC agua/alimentos,https://veterinaria.uach.cl/instituto-de-medicina-preventiva-veterinaria-servicios,Página oficial del Instituto con correos del laboratorio,sitio_oficial,87,alta,Abrir con propuesta de equipamiento para laboratorio acreditado de alimentos/aguas,dominio_en_historial_origenlab
CERAM UACh,Miriam Seguel,mseguel@uach.cl,uach.cl,Contacto laboratorio,Universidades e investigación,Los Lagos,laboratorio_universitario,Toxinas marinas y monitoreo acuícola,microcentrífugas; balances; incubación; sample prep; QC acuícola,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Entidad autorizada por SERNAPESCA con contacto público,sernapesca_entidades_analisis,86,alta,Destacar equipos para laboratorios acuícolas con alta exigencia de repetibilidad y bioseguridad,dominio_en_historial_origenlab
Laboratorio de Parasitología Veterinaria UACh,Pamela Muñoz,pamela.munoz@uach.cl,uach.cl,Contacto laboratorio,Universidades e investigación,Los Ríos,laboratorio_universitario,Procesamiento de muestras parasitológicas y confirmación diagnóstica,microcentrífugas; centrifugación refrigerada; incubadoras; balances; sample prep,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Laboratorio universitario con autorización SERNAPESCA y contacto público,sernapesca_entidades_analisis,83,alta,Enfocar en centrifugación segura y equipos de preparación de muestra para cargas diagnósticas,dominio_en_historial_origenlab
Instituto de Fomento Pesquero,Lilian Díaz,lilian.diaz@ifop.cl,ifop.cl,Contacto laboratorio / investigación,Universidades e investigación,Los Lagos,instituto_publico_investigacion,"Monitoreo marino, marea roja y análisis hidrobiológicos",incubadoras; balances; sample prep; centrifugación; QC ambiental,https://www.ifop.cl/macrofauna/contacto/,Página oficial IFOP con contactos en Puerto Montt,sitio_oficial,88,alta,Proponer equipos para monitoreo hidrobiológico y procesamiento de muestras en programas continuos,lead_status=net_new_candidate
INIA La Platina,Cristina Vergara,,inia.cl,Directora Regional,Universidades e investigación,Región Metropolitana,centro_investigacion,Laboratorios agroindustriales y de biotecnología/postcosecha,balances; homogenizadores; microcentrífugas; incubadoras; sample prep,https://www.inia.cl/la-platina/,Centro regional INIA con laboratorios y dependencias experimentales,sitio_oficial,80,media,Hablar de equipamiento para desarrollo agroalimentario y postcosecha,dominio_en_historial_origenlab; sin_email_publico
INIA Quilamapu,,oficinadepartesquilamapu@inia.cl,inia.cl,Contacto centro regional,Universidades e investigación,Ñuble,centro_investigacion,"Laboratorio de suelos, plantas, aguas y servicios analíticos,balances analíticas; homogenizadores; incubadoras; sample prep",https://www.inia.cl/contacto/,Página oficial de contacto del centro regional,sitio_oficial,81,alta,Enfatizar reposición y expansión de equipos para laboratorios de suelos, plantas y aguas,dominio_en_historial_origenlab
INIA Carillanca,,oficinadepartescarillanca@inia.cl,inia.cl,Contacto centro regional,Universidades e investigación,La Araucanía,centro_investigacion,Laboratorios agropecuarios y de cultivos/semillas,balances; incubadoras; homogenizadores; sample prep,https://www.inia.cl/contacto/,Página oficial de contacto del centro regional,sitio_oficial,78,alta,Propuesta para equipamiento de laboratorio agrícola y soporte a programas regionales,dominio_en_historial_origenlab
INIA Remehue,,,inia.cl,Centro regional,Universidades e investigación,Los Lagos,centro_investigacion,Nutrición animal y medioambiente con laboratorio central,balances; incubadoras; centrífugas; sample prep; homogenización,https://www.inia.cl/remehue/,Sitio oficial indica laboratorio central de Nutrición Animal y Medioambiente,sitio_oficial,82,alta,Enfatizar equipos para análisis recurrentes y carga operativa del laboratorio central,dominio_en_historial_origenlab; sin_email_publico
Biotecmar Servicios UCSC,Teresa Aguayo,taguayo@ucsc.cl,ucsc.cl,Contacto laboratorio,Universidades e investigación,Biobío,laboratorio_universitario,"Ensayos físico-organolépticos, químicos y metales pesados",centrífugas; balances; incubadoras; sample prep,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Entidad autorizada por SERNAPESCA con contacto público,sernapesca_entidades_analisis,85,alta,Enfocar en renovación de equipos de preparación de muestra y QC hidrobiológico,
PUCV Lab Asistencia Técnica,Marcia Arancibia,marcia.arancibia@pucv.cl,pucv.cl,Contacto laboratorio,Universidades e investigación,Valparaíso,laboratorio_universitario,"Microbiología, química y metales pesados con orientación a servicio técnico",balances analíticas; incubadoras; centrífugas; sample prep,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Laboratorio de la Escuela de Alimentos PUCV autorizado por SERNAPESCA,sernapesca_entidades_analisis,84,alta,Destacar reposición de equipos para asistencia técnica y ensayos de alimentos/hidrobiológicos,
Laboratorio de Inocuidad de los Alimentos UChile,María Elsa Marín,lica@veterinaria.uchile.cl,uchile.cl,Contacto laboratorio,Universidades e investigación,Región Metropolitana,laboratorio_universitario,Microbiología e inocuidad alimentaria,incubadoras; microcentrífugas; balances; sample prep,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Laboratorio UChile con contacto y evidencia de alcances oficiales,sernapesca_entidades_analisis,85,alta,Enfocar en robustez y continuidad operacional para laboratorio de inocuidad con cargas rutinarias,dominio_en_historial_origenlab
Laboratorio de Farmacología Veterinaria UChile,Bety San Martín,bsmartin@uchile.cl,uchile.cl,Directora / laboratorio,Universidades e investigación,Región Metropolitana,laboratorio_universitario,"Residuos, contaminantes y verificación oficial",centrífugas refrigeradas; microcentrífugas; incubadoras; balances de precisión,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Laboratorio autorizado por SERNAPESCA con contacto público,sernapesca_entidades_analisis,88,alta,Propuesta de equipamiento de mayor exigencia para control de residuos/contaminantes,dominio_en_historial_origenlab
Laboratorio de Toxinas Marinas UChile Castro,María Fernanda Barrera,mfbarrar@ug.uchile.cl,uchile.cl,Contacto laboratorio,Universidades e investigación,Los Lagos,laboratorio_universitario,Toxinas marinas y control especializado,centrífugas refrigeradas; balances; sample prep; incubación,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Unidad UChile en Castro con contacto público en listado oficial,sernapesca_entidades_analisis,83,media,Abrir con soluciones para procesamiento seguro de muestras y cumplimiento técnico,dominio_en_historial_origenlab
Laboratorio de Toxinas Marinas UChile Santiago,María Loreto Olivares,molivar@med.uchile.cl,uchile.cl,Contacto laboratorio,Universidades e investigación,Región Metropolitana,laboratorio_universitario,Toxinas marinas y apoyo analítico especializado,microcentrífugas; centrífugas refrigeradas; balances; sample prep,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Unidad UChile sede Santiago en listado oficial,sernapesca_entidades_analisis,81,media,Posicionar equipamiento para mejorar tiempos de preparación de muestra y confiabilidad,dominio_en_historial_origenlab
Universidad de Valparaíso VRII,,,uv.cl,Unidad compradora / proyecto FONDEF,Universidades e investigación,Valparaíso,public_tender_universidad,"Compró sonicador, baño ultrasónico y otros equipos para proyecto FONDEF",sonicadores; baños ultrasónicos; refrigeradores de laboratorio; equipos de apoyo,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=5626-21-LE24,Licitación de equipos de laboratorio para Proyecto FONDEF ID24I10035,mercado_publico,95,alta,Entrar por oferta técnica equivalente y servicio postventa para proyectos concursables,lead_status=public_tender_opportunity; sin_email_publico
Universidad de La Serena Proyecto ULS 23991,,,userena.cl,Unidad compradora,Universidades e investigación,Coquimbo,public_tender_universidad,"Equipos para laboratorios con centrifugas, campanas, freezer y autoclave,centrífugas; freezer; campanas; autoclaves; biomolecular prep",https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1232565-75-LE25,Licitación revocada, pero con evidencia clara de demanda reciente,mercado_publico,82,alta,Proponer reactivación/cotización para paquetes de equipamiento ante nuevas compras,lead_status=follow_up_candidate; sin_email_publico
UTEM IDT,,,utem.cl,Unidad compradora / IDT,Universidades e investigación,Región Metropolitana,public_tender_universidad,Mantención preventiva anual de equipos de laboratorio en IDT,servicio y reposición de centrífugas; incubadoras; balances; sample prep,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=qW0Xcc8xuAZlTfBniZQrYQ%3D%3D,Licitación de mantención preventiva de parque instalado,mercado_publico,84,alta,Ofrecer reposición planificada y contratos de mantención para equipos críticos,lead_status=follow_up_candidate; sin_email_publico
Universidad de Santiago de Chile Depto. Física,,,usach.cl,Unidad compradora / laboratorio docente,Universidades e investigación,Región Metropolitana,public_tender_universidad,Equipamiento para laboratorios docentes con balanzas,balances y equipos de apoyo docente/lab,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=5067-178-LE25,Licitación adjudicada para laboratorios docentes del Depto. de Física,mercado_publico,74,alta,Abrir por línea de balances y equipamiento docente con foco en estandarización,lead_status=follow_up_candidate; sin_email_publico
AGQ Labs Chile,,atencionalclientechile@agqlabs.com,agqlabs.com,Atención al cliente,Laboratorios privados,Región Metropolitana,laboratorio_privado,"Procesamiento rutinario de alimentos, aguas, ambiente e industrial",centrífugas; homogenizadores; sonicadores; balances; incubadoras; sample prep,https://agqlabs.cl/contacto/,Contacto oficial AGQ Labs Chile,sitio_oficial,86,alta,Priorizar equipos de alto uso y reposición para laboratorios multi-matriz,dominio_en_historial_origenlab
CSLAB,Karina Peña,kpena@cslab.cl,cslab.cl,Jefa de laboratorio,Laboratorios privados,Región Metropolitana,laboratorio_privado,Microbiología de alimentos/aguas e industria farmacéutica,incubadoras; microcentrífugas; balances; sample prep,https://cslab.cl/pages/quienes-somos,Sitio oficial describe alimentos y farma; SERNAPESCA publica contacto operativo,sitio_oficial + sernapesca,90,alta,Ofrecer reposición de equipos de alto uso en microbiología y QC farmacéutico,dominio_en_historial_origenlab
Silob Chile,Jorge Peñaloza,ambiental@silobchile.cl,silobchile.cl,Coordinador de Muestreo Aguas y Riles,Laboratorios privados,Valparaíso,laboratorio_ambiental,"Microbiología, químicos y muestreos para aguas, lodos, alimentos e hidrobiológicos",incubadoras; centrífugas; balances; sample prep; QC agua/ambiental,https://silobchile.cl/contacto/,Sitio oficial con contacto directo del área ambiental,sitio_oficial,88,alta,Enfatizar equipos para agua/riles y microbiología con rápida reposición,dominio_en_historial_origenlab
IDIEM,,contacto@idiem.cl,idiem.cl,Contacto institucional,Laboratorios privados,Región Metropolitana,centro_ensayos,Ensayos y certificaciones en varias sedes,balances; sample prep; centrífugas; equipos de apoyo analítico,https://www.idiem.cl/contacto,Sitio oficial con múltiples laboratorios/sedes,sitio_oficial,76,alta,Proponer equipos complementarios para laboratorios multisedes y programas de calibración,
DICTUC,,,dictuc.cl,Formulario de cotización / proveedores,Laboratorios privados,Región Metropolitana,centro_ensayos,"Unidades de minería, biominería, hidráulica y metrología",reactores; homogenizadores; sonicadores; balances; sample prep,https://www.dictuc.cl/unidades/laboratorio-tecnologico-avanzado-para-la-mineria/quienes-somos/,Sitio oficial muestra red de laboratorios tecnológicos,sitio_oficial,80,media,Entrar por laboratorios tecnológicos y de minería con propuesta modular,sin_email_publico
Mérieux NutriSciences Chile,,atencionclienteschile@mxns.com,mxns.com,Atención al cliente / cotizaciones,Laboratorios privados,O'Higgins / Los Lagos,laboratorio_alimentos,"Análisis de alimentos, agua, ambiente y personal care",incubadoras; homogenizadores; balances; centrífugas; sample prep,https://www.merieuxnutrisciences.com/cl/contactanos/,Sitio oficial de contacto con ubicaciones en Chile,sitio_oficial,87,alta,Enfocar en equipamiento de QC de alimentos/agua de uso intensivo,dominio_en_historial_origenlab
Eurofins Chile,Marcela Torres,MarcelaTorres@eurofins.com,eurofins.com,Contacto laboratorio,Laboratorios privados,Región Metropolitana / Biobío,laboratorio_alimentos,"Análisis, muestreo y consultoría para alimentos/agua",incubadoras; balances; centrífugas; homogenizadores; sample prep,https://www.eurofins.cl/contacto/,Sitio oficial Eurofins Chile y contacto público adicional en SERNAPESCA,sitio_oficial + sernapesca,88,alta,Ofrecer reposición de equipos para laboratorios multisitio,
CESMEC,Juan Pablo García,juan-pablo.garcia@bureauveritas.com,bureauveritas.com,Jefe de Laboratorio,Laboratorios privados,Región Metropolitana,centro_ensayos,"Metrología, laboratorio de masa y análisis multirubro",balances analíticas/de precisión; centrífugas; sample prep,https://www.inn.cl/rnm-idc-masa,Página oficial INN del laboratorio custodio de masa con contacto público,INN,84,alta,Iniciar por balances/metrología y ampliar a equipamiento de apoyo,
Corthorn Quality,Isabel Castro,isabel@corthorn.cl,corthorn.cl,Contacto laboratorio,Laboratorios privados,Región Metropolitana,laboratorio_alimentos,"QC hidrobiológico con microbiología, química y metales pesados",centrífugas; incubadoras; balances; sample prep,https://www.corthorn.cl/,Sitio oficial y contacto visible en acreditaciones públicas,sitio_oficial + sernapesca,90,alta,Enfatizar equipos para laboratorio hidrobiológico acreditado de uso continuo,lead_status=net_new_candidate
Intertek Caleb Brett Chile,Silvia Rodríguez,silvia.rodriguez@intertek.com,intertek.com,Contacto laboratorio,Laboratorios privados,Valparaíso / Tarapacá / Biobío,laboratorio_privado,"Inspección, análisis y certificación con base de laboratorio",balances; sample prep; centrífugas; equipos de apoyo,https://www.inn.cl/OI228,Acreditación INN y evidencia pública sectorial de sedes en Chile,INN + sernapesca,80,media,Posicionar equipos de apoyo para laboratorios e inspección en puertos/commodities,
Pathovet Labs,,,pathovet.cl,Dirección / operaciones de laboratorio,Laboratorios privados,Los Lagos,laboratorio_acuicola,"Histopatología, bioquímica sanguínea y biomarcadores de peces",microcentrífugas; centrifugación refrigerada; homogenizadores; sonicadores; sample prep,https://pathovet.cl/,Sitio oficial de servicios de laboratorio acuícola y biomarcadores,sitio_oficial,92,alta,Enfocar en equipos para diagnóstico y biomarcadores en peces,lead_status=net_new_candidate; sin_email_publico
Aquagestión,,,aquagestion.cl,Contacto laboratorio,Laboratorios privados,Los Lagos,laboratorio_acuicola,Laboratorio acuícola autorizado con múltiples alcances,centrífugas refrigeradas; microcentrífugas; incubadoras; sample prep,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Entidad SERNAPESCA autorizada con contacto público en PDF oficial,sernapesca_entidades_analisis,91,media,Proponer equipamiento para expansión/renovación de laboratorio acuícola,lead_status=net_new_candidate; sin_email_publico
Labser,,,labser.cl,Contacto laboratorio,Laboratorios privados,Los Lagos,laboratorio_acuicola,Microbiología y QC hidrobiológico en Puerto Montt,incubadoras; balances; centrífugas; sample prep,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Entidad autorizada por SERNAPESCA,sernapesca_entidades_analisis,78,media,Ofrecer reposición de equipamiento base para microbiología y QC hidrobiológico,sin_email_publico
Plancton Andino,Francisca Muñoz,calidad@plancton.cl,plancton.cl,Laboratorio Fitoplancton/Bio-Óptica,Laboratorios privados,Los Lagos,laboratorio_acuicola,"Fitoplancton, bentos y bio-óptica con laboratorios en el sur austral",balances; incubadoras; sample prep; QC acuícola/ambiental,https://plancton.cl/,Sitio oficial y evidencia pública de laboratorios en Puerto Varas/Castro,sitio_oficial + sernapesca,88,alta,Enfocar en laboratorios acreditados de fitoplancton/bentos con necesidad de equipos confiables,lead_status=net_new_candidate
Viamed Technical Laboratory,José Lanza,calidad@vtl.cl,vtl.cl,Calidad,Laboratorios privados,Región Metropolitana,laboratorio_privado,"QC microbiológico, PSMB, metales y residuos",centrífugas; microcentrífugas; incubadoras; balances; sample prep,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Entidad autorizada por SERNAPESCA con contacto calidad@vtl.cl,sernapesca_entidades_analisis,84,alta,Ofrecer equipos de uso intensivo para laboratorio regulado,lead_status=net_new_candidate
World Survey Services,Jerardo Mieville,jmieville@wss.cl,wss.cl,Contacto / laboratorio y muestreo,Laboratorios privados,Valparaíso,laboratorio_privado,"Laboratorio y muestreo, metrología y minería",balances; sample prep; centrífugas; equipos de calibración,https://www.wss.cl/contacto.html,Sitio oficial muestra línea de negocio de laboratorio y muestreo,sitio_oficial + sernapesca,77,alta,Entrar por áreas de metrología y laboratorio/muestreo,lead_status=net_new_candidate
Biodiversa,,contacto@biodiversa.com,biodiversa.com,Contacto comercial,Laboratorios privados,Biobío / Coquimbo,laboratorio_ambiental,"Laboratorio ambiental, biosólidos, riles y servicios ambientales",incubadoras; balances; centrífugas; QC agua/ambiental,https://www.biodiversa.com/contacto/,Sitio oficial con línea de Laboratorio Ambiental y correo comercial,sitio_oficial,87,alta,Ofrecer equipamiento para laboratorio ambiental y servicios de riles/agua,lead_status=net_new_candidate
Hidrolab,,contacto@hidrolab.com,hidrolab.com,Contacto comercial,Laboratorios privados,Región Metropolitana,laboratorio_agua,Análisis de aguas y laboratorio especializado,incubadoras; balances; sample prep; QC de agua,https://www.hidrolab.com/contacto/,Sitio oficial con contacto y foco en análisis de aguas,sitio_oficial,79,alta,Proponer equipamiento para análisis de agua y laboratorio con foco en repetibilidad,lead_status=net_new_candidate
ANAM,,,anam.cl,Contactar a un experto,Laboratorios privados,Región Metropolitana / Los Lagos,laboratorio_ambiental,"Dos laboratorios acreditados en física, química y microbiología",incubadoras; balances; centrífugas; QC agua/ambiental,https://www.anam.cl/,Sitio oficial indica dos laboratorios acreditados en Quilicura y Puerto Montt,sitio_oficial,85,alta,Enfocar en equipos core para laboratorios acreditados de análisis físico-químico y microbiológico,lead_status=net_new_candidate; sin_email_publico
Andes Control,,andescontrol@andescontrol.cl,andescontrol.cl,Contacto laboratorio,Laboratorios privados,Región Metropolitana,laboratorio_alimentos,Residuos de plaguicidas y análisis químicos de alimentos/agua,homogenizadores; balances; sample prep,https://www.sag.gob.cl/content/residuos-plaguicidas-andes-control,SAG publica ficha técnica del laboratorio con correo y dirección,SAG,83,alta,Posicionar equipos de preparación de muestra y precisión para residuos/plaguicidas,lead_status=net_new_candidate
SGS Chile,,Hannelore.Valentin@sgs.com,sgs.com,Contacto laboratorio / desarrollo,Laboratorios privados,Región Metropolitana / Los Lagos,laboratorio_privado,"Laboratorios de minería, alimentos, ambiente y acuicultura",centrífugas; sample prep; balances; incubadoras,https://www.sgs.com/es-cl/services/servicios-de-toma-de-muestras,Sitio oficial + evidencia SERNAPESCA de sedes con laboratorios,sitio_oficial + sernapesca,84,alta,Propuesta enfocada en laboratorios multisitio de alto uso,dominio_en_historial_origenlab
ALS Patagonia,,,alsglobal.com,Contacto general,Laboratorios privados,Región Metropolitana / Antofagasta,laboratorio_minero,Servicios analíticos para exploración mineral y laboratorio,balances; sample prep; homogenizadores,https://www.alsglobal.com/es/,Sitio oficial global de servicios analíticos y evidencia pública de operación en Chile,sitio_oficial + directorio_secundario,76,media,Abrir por sample prep y equipamiento de apoyo para analítica mineral,sin_email_publico
5M S.A.,Alejandra Cid,acid@5m.cl,5m.cl,Contacto laboratorio,Laboratorios privados,Biobío / Tarapacá,laboratorio_acuicola,"Físico-organoléptico, microbiología y química para rubro hidrobiológico",incubadoras; balances; sample prep; QC,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Entidad SERNAPESCA con contactos públicos en Talcahuano e Iquique,sernapesca_entidades_analisis,82,alta,Ofrecer equipamiento base para laboratorio regulado con cobertura en varias geografías,lead_status=net_new_candidate
Biovac,Loreto Tapia,ltapia@veterquimica.cl,veterquimica.cl,Contacto laboratorio,Laboratorios privados,Los Lagos,laboratorio_acuicola,Virología y soporte analítico para acuicultura,microcentrífugas; incubadoras; sample prep; refrigeración,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Biovac sede Puerto Montt aparece en listado oficial SERNAPESCA,sernapesca_entidades_analisis,79,alta,Enfocar en equipos para diagnóstico y procesamiento de muestras en peces,lead_status=net_new_candidate
Multiexport Foods,Karhina Barria,kbarria@multiexportfoods.com,multiexportfoods.com,Contacto laboratorio,Acuicultura y salmones,Los Lagos,qc_alimentos,Microbiología y control de calidad de productos salmoneros,centrífugas; incubadoras; balances; sample prep,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Listado oficial SERNAPESCA incluye a Alimentos Multiexport con contacto público,sernapesca_entidades_analisis,86,alta,Abrir por QC de alimentos de exportación y equipamiento confiable,lead_status=net_new_candidate
Salmones Antártica,Lilian Saldivia,lsaldivia@nissui.cl,nissui.cl,Contacto laboratorio,Acuicultura y salmones,Los Lagos,qc_alimentos,Control microbiológico y de calidad en salmones,incubadoras; balances; centrífugas; sample prep,https://www.sernapesca.cl/app/uploads/2023/11/entidades_de_analisis_20190102.pdf,Entidad del rubro salmonero con contacto de laboratorio en listado oficial,sernapesca_entidades_analisis,84,alta,Hablar de confiabilidad y soporte para laboratorios de exportación salmonera,lead_status=net_new_candidate
Aguas Andinas,,,aguasandinas.cl,Área de calidad / laboratorio,Agua y utilities,Región Metropolitana,laboratorio_agua,"Autocontrol de calidad de agua potable, innovación y laboratorio",incubadoras; balances; QC de agua; sample prep,https://www.aguasandinas.cl/web/aguasandinas/calidad-del-agua,Sitio oficial sobre calidad del agua y laboratorios; además opera AguasLab,sitio_oficial,84,alta,Entrar por laboratorios de calidad de agua y AguasLab enfatizando robustez operativa,lead_status=net_new_candidate; sin_email_publico
